,title,text,label
4714," Loser Trump Rants About Hillary And The Election Again, Twitter Mocks His Petulant Insecurity","It is now 14 days until Donald Trump takes over the White House and he is STILL whining about Hillary Clinton.We know Trump still has a bruised ego from losing the popular vote by nearly 3 million votes, but continuing to attack Hillary and brag about how he  won  is getting old and displays a childishness that no other president-elect has ever displayed.Hillary and the Dems were never going to beat the PASSION of my voters. They saw what was happening in the last two weeks before the  Donald J. Trump (@realDonaldTrump) January 6, 2017and knew they were in big trouble   which is why they cancelled their big fireworks at the last minute.THEY SAW A MOVEMENT LIKE NEVER BEFORE  Donald J. Trump (@realDonaldTrump) January 6, 2017Hopefully, all supporters, and those who want to MAKE AMERICA GREAT AGAIN, will go to D.C. on January 20th. It will be a GREAT SHOW!  Donald J. Trump (@realDonaldTrump) January 6, 2017Trump is absolutely obsessed with Election Day and continues to pretend that the Trump  movement  is this massive thing we ve never seen before. But again, the facts remains that he lost the popular vote and his electoral win is one of the smallest in American history, like his hands.And Twitter users were quick to humiliate Trump.@realDonaldTrump She was more popular than you by close to 3,000,000 votes. Because math   ??  Jeremy Pond (@JeremyPond) January 6, 2017@realDonaldTrump IGNORANCE of your voters actually.  The Socialist Party (@OfficialSPGB) January 6, 2017@realDonaldTrump Focus! The campaign is over & now you have an actual job to do. Also realize that the new job will limit  tanning bed time  Kevin (@TheKevinDent) January 6, 2017@realDonaldTrump Many of your supporters have passion for nativism and jingoism, and they feed into your dangerous leadership qualities.  Jeffrey Guterman (@JeffreyGuterman) January 6, 2017@realDonaldTrump it s true, racists can be very passionate  Andrew W Chamings (@AndrewChamings) January 6, 2017@realDonaldTrump seriously, how is this helping to heal division and unite America? It still sounds embarrassingly like you are campaigning.  Matt Haig (@matthaig1) January 6, 2017@realDonaldTrump   Way to reunite the country. Hint: Petulant insecurity isn t leadership. https://t.co/s85SLOjJPh  Tim Guinee (@TimGuinee) January 6, 2017@realDonaldTrump I m pretty sure she beat the PASSION of your voters by almost 2.9 million votes. But, semantics.  Nick Bilton (@nickbilton) January 6, 2017@realDonaldTrump wow.. what a child you are.  Abraham Joffe (@Abrahamjoffe) January 6, 2017@realDonaldTrump Did you win? I forgot. Why don t you talk about it some more instead of going to your intelligence briefings.  Joe Harris (@joeharris) January 6, 2017Donald Trump needs to stop bitching and bragging on Twitter and start focusing on the toughest job in the world. Anything less is unacceptable and a disservice to our country.Featured image via sreeenshot",1
49789,Eight U.S. Airlines Win Tentative Approval to Fly to Havana - The New York Times,"A fiercely contested battle among United States airlines to be the first to schedule flights to Havana, Cuba’s capital, in more than 50 years is coming to a close. Eight carriers  —   most with flights departing from the Miami and New York metropolitan areas  —   received tentative approval from the Transportation Department on Thursday to operate direct flights to José Martí International Airport in Havana. Twelve airlines had submitted requests for a combination of 60 flights a day, but only 20 daily routes were available under an arrangement between the governments. The decision was made a year after the United States and Cuba   diplomatic relations. The United States Department of Transportation announced last month that it had approved routes to nine other Cuban cities, but it delayed authorizing the Havana routes because of competition among the major airlines. The department awarded the routes to serve markets with substantial   populations and crucial aviation hub cities. Among the winners was American Airlines, which will operate five direct flights to Havana, four flights from Miami and one from Charlotte, N. C. American, which was approved for more flights than any other airline, had operated charter flights to Cuba for 25 years. “American has a rich history in the Cuban market, and we are excited to continue to be the leader in providing air service between the United States and Cuba,” Andrew Nocella, American’s chief marketing officer, said in a statement. Alaska Airlines is the only carrier that will fly to Havana directly from the West Coast. It will operate a   flight from Los Angeles. While American tourism to Cuba is still technically prohibited, the federal government in March relaxed travel restrictions to allow “people to people” educational trips without special permission from the government. Those trips must fall under one of 12 categories, like visiting family members or for humanitarian projects. About 3. 5 million people worldwide visited Cuba last year, according to state news media, and the number is expected to increase sharply as scheduled flights from the United States resume for the first time in 50 years. At the same time, Cuba’s private and state businesses are straining to accommodate the influx of travelers. “Where are all of these people going to stay?” said John S. Kavulich, president of the U. S.  Trade and Economic Council. “Cuba won’t have the hotel rooms for these people. The interest may be there, but the ability to provide them with rooms won’t be. ” Six direct flights will be offered from Miami each day, and three flights from the New York metropolitan area. Delta Air Lines and JetBlue Airways will each offer a daily flight from Kennedy International Airport, and United won a route from Newark Liberty International Airport. Other flights originate from Fort Lauderdale and Tampa, Fla. and Atlanta and Houston. Spirit Airlines and Southwest Airlines also won routes. Applications from four small airlines, Silver Airways, Dynamic International Airways, Eastern Air Lines and Sun Country Airlines, were not approved. “There will be comments and there will be appeals,” Mr. Kavulich said. “It’s likely there will be adjustments to the routes. ” The airlines and other stakeholders have until July 22 to submit formal objections to the routes, and the Transportation Department plans to complete its decisions this summer. The first flights are expected to take off as early as September.",0
42295,"BAHAHA! HILLARY SAYS She Wants A Border Fence, But Not A Wall [Video]",Hillary Clinton thinks as most  progressives  do if you change the name of something then it s not so bad. Like commie was changed to progressive LOL! This video is hysterical because it s of Jorge Ramos trying to nail Hillary on the FACT that she voted for a border fence. She s so damn delusional that she actually thinks by changing the term that she can lie her way out of this sticky question. This is a classic! ,1
27839,Ukraine detains suspected Russian spy in premier's inner circle,"KIEV (Reuters) - Ukraine s state security service SBU have detained a government official on suspicion of working in the interests of Russia, Prime Minister Volodymyr Groysman said on Thursday.  Together with the Security Service of Ukraine, an official in the government s secretariat was found to be working for a long time in the interests of the enemy state. He was detained,  Groysman said on Facebook. Neither he nor the SBU named the position or name of the detained official, but lawmakers and local media said the suspect was called Stanislav Yezhov, a deputy head of the government s protocol service who had also worked as an interpreter for Groysman. Yezhov could not immediately be reached for comment. The SBU said in a statement that the official was recruited by Russian agents while he traveled abroad. It said the official had been collecting information about the activities of the government. Ukraine and Russia were once allies whose intelligence agencies often worked closely together, but relations deteriorated after Russia s annexation of Crimea in 2014 and support for pro-Russian separatists in eastern Ukraine. ",0
41855,Illinois bill would ban passenger removal after UAL incident,"CHICAGO (Reuters) - An Illinois lawmaker on Monday introduced a bill to ban the forcible removal of travelers from flights by state or local government employees after a United Airlines passenger was dragged from an aircraft last week. The Airline Passenger Protection Act, sponsored by  Republican state Representative Peter Breen, came after Dr. David Dao, 69, was pulled from a United flight at Chicago’s O’Hare International Airport to make space for four crew members.  The treatment of Dao sparked international outrage, as well as multiple apologies from the carrier, and raised questions about the overbooking policies of airlines. Under Breen’s measure, passengers could not be removed from flights unless they were presenting a danger to themselves or others, an emergency was taking place or the passenger had caused a serious disturbance, according to a copy of the bill introduced in the state capital, Springfield.    “A commercial airline that removes validly seated customers without serious cause breaches the sacred trust between passengers and their airlines,” the bill said.  The legislation would also bar the state of Illinois from making travel arrangements, doing business with or having investments in any commercial airline that maintained a policy of removing paying passengers to make room for employees traveling on non-revenue tickets.  Dao, who was traveling to Louisville, Kentucky, on April 9, suffered a broken nose, a concussion and lost two teeth when he was pulled from his seat by officers from the Chicago Department of Aviation to make room for four employees on the overbooked flight.  The three officers, who have not been named, were put on paid leave last week, the department said.  “The treatment of the passenger in last week’s incident at O’Hare is inexcusable and must be stopped,” Breen said in a statement. “It reflected badly on the airline, the City of Chicago, and the State of Illinois.” United Chief Executive Oscar Munoz on Monday again apologized for the incident. [nL1N1HP1HM] United said on Friday it was changing its policy on booking its flight crews onto its own planes. The company did not immediately respond to a request for comment on the Illinois bill. Lawyers for Dao have moved to preserve evidence from the flight, filing a motion to keep surveillance videos and other materials related to United Flight 3411 in preparation for a possible lawsuit.  The city and United agreed to preserve the evidence, Dao’s attorney said on Saturday. ",0
11728,CHURCHGOERS TRAPPED INSIDE CATHEDRAL After Man Hits Police Officer Guarding Church In Head With Hammer…Authorities Calling It Act Of Terror [VIDEO],"France s armed police officers were at least prepared to handle the terror attack after shooting the terrorist, thereby preventing any further acts of terror by what police believe to be a lone wolf incident. Many questioned the how the UK can effectively deal with terrorism when their law enforcement officers are unarmed, like in the most recent attack in London where unarmed police officers were seen running away from the scene of the crime, and citizens were forced to use chairs to protect themselves from terrorists with knives A man with a hammer bashed a police officer in the head outside Notre Dame Cathedral in Paris Tuesday, in an attack that investigators called an act of terror.The wounded officer fired twice at the hammer-wielding man in the square in front of the cathedral, French police told Fox News. The attacker was hospitalized; the specific conditions of both men were unclear.UPDATE:French Minister G rard Collomb: Notre Dame cathedral attacker said  This is for Syria.  pic.twitter.com/cDeOD3csEK  Josh Caplan (@joshdcaplan) June 6, 2017 Police can be seen here rushing to terror scene:Police rush to Paris s Notre-Dame cathedral following reports man attempted to attack officer with a hammer. pic.twitter.com/VHJdRRMpdG  Josh Caplan (@joshdcaplan) June 6, 2017Visitors to the famous Notre Dame Cathedral are trapped inside until police can clear the scene:Photo of visitors locked inside Notre-Dame cathedral in Paris following reports man attempted to attack officer with a hammer. pic.twitter.com/3GNPK2sN6k  Josh Caplan (@joshdcaplan) June 6, 2017Police asking everyone to raise their hands in the church pic.twitter.com/y5KkyWqdWK  Matthew CurrieHolmes (@mch2k) June 6, 2017The French interior minister said the suspect had been threatening several policemen and passersby at the time.Paris has been under high security after a string of Islamic extremist attacks in recent years. Security Message: ongoing security incident at Notre Dame Cathedral   U.S. citizens should avoid the area & follow advice of authorities  U.S. Embassy France (@USEmbassyFrance) June 6, 2017The French U.S. embassy alerted American citizens to  avoid the area and follow advice of authorities  following the incident.On social media, people reported that they were  trapped  in the cathedral for an incident outside. One person in the cathedral said officers instructed them to  raise their hands.  Later in the day, they said officers were starting to let them out.  FOX News",1
27637,France sold two military ships to United Arab Emirates: Macron,"DUBAI (Reuters) - France sold two Gowind-class corvettes of state-owned shipbuilder Naval Group to the United Arab Emirates, President Emmanuel Macron told a new conference on Thursday. The deal also includes an option for two more vessels, the French presidency said in a statement. The president s office did not disclose financial details. French arms sales to the Gulf Arab region have surged in recent years as Paris has nurtured new links with Sunni Arab states, which appreciate its tough stance on their Shi ite rival Iran and similar positions on the region s conflicts. ",0
21575,Mexico Prepares to Counter ‘the Trump Emergency’ - The New York Times,"MEXICO CITY  —   Vicente Fox, the former president of Mexico, was recently stuck in Mexico City traffic, overcome with frustration  —   not by the congestion, but by something that was irritating him even more: Donald J. Trump. He grabbed his phone, turned the lens on himself and pressed record. “Ha! Donald,” Mr. Fox said, holding the phone perhaps a little too close to his face. “What about your apologies to Mexico, to Mexicans in the United States, to Mexicans in Mexico?” In short order, the   clip was on Mr. Fox’s Twitter feed  —   another salvo in a personal campaign against the American presidential candidate that has included television appearances, radio interviews and a fusillade of hectoring Twitter posts. Mr. Fox’s voice is among a growing, if uncoordinated, chorus of influential Mexicans worried about what a Trump victory could mean for the complex relationship between the United States and Mexico  —   not to mention the impact Mr. Trump’s presidential bid may have already had. The voices have included at least two former Mexican presidents, top government officials, political analysts, academics, editorial writers and cultural figures. President Enrique Peña Nieto likened the candidate’s language to that of Hitler and Mussolini in an interview with Mexico’s Excelsior newspaper. And he recently shuffled his diplomatic corps in the United States, replacing Mexico’s ambassador to Washington and installing new consuls general around the country, in part to strengthen his administration’s response to the rise of Mr. Trump and what it reflects about American sentiment toward Mexico. While many leaders around the world are worried about how Mr. Trump’s campaign, win or lose, could shape American foreign policy, the concerns are particularly pointed in Mexico and throughout the Mexican diaspora because of the exceptionally close geographic, economic, demographic and cultural ties between the two countries. The two countries are now enjoying one of the more harmonious periods in a turbulent history. But many in Mexico fear that the friendship would rupture should Mr. Trump win the election and follow through on his threats to undo the North American Free Trade Agreement, force Mexico to pay for the construction of a wall between the countries by interrupting remittances and deport the estimated 11 million illegal immigrants in the United States, about half of whom are Mexican. “His threat is cataclysmic, I think, for Mexico,” Enrique Krauze, a Mexican historian and literary magazine editor, said in an interview. “What it would mean for bilateral trade, in social terms, in the tearing of families, in the trauma, the collective panic, the opening of old wounds. ” He added: “I can use one of Trump’s favorite words. Yes, this is huge. It’s a huge danger. ” Mexican critics of Mr. Trump say he has already damaged the image of their country and of the Mexican people with his espousal of views that many regard as xenophobic. At a rally to kick off his campaign in June, the Republican candidate suggested that many Mexican immigrants were drug traffickers and rapists. Mexican officials, concerned about negative impressions of Mexico in the United States, have been rolling out a strategy to improve the image of their country and show how the relationship between the two nations has been of “mutual benefit,” said Paulo Carreño, the newly appointed under secretary for North America in Mexico’s Foreign Ministry. The strategy includes “cultural diplomacy,”   activism and the deployment of Mexican community and business leaders living in the United States, he said. As part of the strategy, the Peña Nieto administration shook up its diplomatic corps in the United States last month: The Mexican ambassador to Washington, Miguel Basáñez Ebergenyi, who had been in the job less than a year, was abruptly replaced by Carlos Sada Solana, a veteran diplomat. In addition, 26 consulates changed leadership. A statement from the Foreign Ministry announcing Mr. Sada’s appointment emphasized his experience “protecting the rights of Mexicans in North America, as well as defending the interests of Mexican abroad. ” In addition, a few   government officials have reacted publicly to Mr. Trump, including Humberto Roque Villanueva, the Interior Ministry’s under secretary for population, migration and migratory affairs. He told the newspaper El Universal this month that the Mexican government was analyzing “how to confront what we would call the Trump emergency. ” “I believe Mr. Trump speaks off the top of his head and doesn’t have a clear idea about financial matters or international accords,” he added. “We live in a globalized world. The United States would have to return to a kind of Middle Ages to prohibit remittances or charge tariffs that aren’t charged in other parts of the world. ” In general, however, the administration has mostly refrained from commenting on the candidate. That has frustrated many Mexicans, who have called on the government to come to the defense of Mexico and push back at Mr. Trump more forcefully. “They can package that in the traditional Mexican nonsense: We don’t interfere in elections,” said Jorge Castañeda, a former foreign minister. “The real reason is that they have no idea what to do, so the default option is to do nothing. ” Instead, most of the Mexican agitation against Mr. Trump has come from the general public. At the beginning of his campaign, many Mexicans viewed Mr. Trump with a mixture of alarm and amusement. But the amusement has mostly fallen away. “Why should we worry?” Mr. Krauze asked, rhetorically. “I couldn’t think of a reason not to worry, no?” In the fall, Mr. Krauze and Carmelo   an emeritus professor of economics and Latin American studies at the University of Pittsburgh, drafted a letter denouncing Mr. Trump’s campaign.   prominent Latinos  —   academics, scientists, writers and filmmakers in the United States, Spain and Latin America  —   signed it. “His hate speech appeals to lower passions like xenophobia, machismo, political intolerance and religious dogmatism,” the letter said. In recent months, Mr. Castañeda has been pushing a   social media campaign with the hashtag #ImProudToBeMexican. Aiming at an American,   audience, he has uploaded videos to Facebook and a campaign website extolling the diversity of the Mexican diaspora and its contributions to the United States. Explaining the American focus of this lobby, he said: “I don’t want to convince Mexicans how nasty Trump is, because everyone knows that. That’s a done deal. ” Mr. Fox’s drumbeat of harangues against Mr. Trump began in February when he declared in a television interview, using a forceful expletive, that Mexicans would not build the candidate’s proposed wall. He escalated from there, chiding Mr. Trump with language that sometimes devolved into schoolyard churlishness. He called the candidate “a false prophet,” “dictator” and “loser. ” He posted a selfie taken against the backdrop of a beach with this message: “Trump, this beautiful Cancun. YOU ARE NOT WELCOME HERE. ” He posted photos from his wife’s birthday party, taunting Mr. Trump: “What do you know about love? Or you just know about hating. How sad!” This month, Mr. Fox expressed contrition for some of his comments in an interview with Breitbart News and apologized to Mr. Trump. But amid blowback from Mexicans on social media and elsewhere who accused him of weakness, he resumed his badgering, posting photos on social media of a   tie made in China and a   jacket made in Mexico  —   evidence, he said, of the candidate’s hypocrisy. Mr. Fox said in a telephone interview from his home in Guanajuato State that he was motivated to attack Mr. Trump by what he called “pure love for that great nation, the United States. ” “I don’t understand why the American public is buying this,” he continued, pain in his voice. “We are partners, we are neighbors, and we should be friends. He’s dividing not only American society, but he’s dividing two nations. “Why does he pick on Mexico?”",0
48041,Iraqi parliament votes to remove kirkuk governor from office: lawmakers,"BAGHDAD (Reuters) - Iraq s parliament voted on Thursday to remove the governor of Kirkuk from office following a request from Prime Minister Haider al-Abadi, according to several lawmakers who attended the vote.  The decision to remove the governor, Najmaddin Kareem, comes after Kirkuk - an oil-rich province claimed by both the central government in Baghdad and the autonomous Kurdish region in northern Iraq - decided to take part in a referendum set for Sept. 25 on Kurdish independence. ",0
49857,House intelligence panel chair: Probe of Russia continues,"WASHINGTON (Reuters) - House Intelligence Committee Chairman Devin Nunes on Tuesday said his panel’s probe into Russian interference in the 2016 U.S. election would continue to move forward. Speaking to reporters on Capitol Hill, Nunes was asked if asked if he would recuse himself from panel’s probe but he declined to answer directly. “The investigation continues,” Nunes told CNN, NBC and other media outlets. ",0
