,title,text,label
33818,Минобороны РФ: Видеокадры последствий удара по школе в Идлибе - монтаж,"0 комментариев 0 поделились Фото: AP 
Видеокадры, которыми подкрепляется эта информация, представляют собой видеомонтаж, склеенный из 10 разных видеоотрезков, снятых, к тому же, в разное время суток и с разным разрешением. Об этом заявил официальный представитель Минобороны генерал-майор Игорь Конашенков. 
По данным ведомства, для проверки информации ЮНИСЕФ российское военное ведомство тщательно проанализировало данные всех средств объективного контроля воздушной обстановки северной части Сирии. 
""Мы проанализировали фото и видеокадры якобы ""свидетельств"" разрушения школы. Опубликованные в ряде зарубежных СМИ видеокадры якобы нанесения удара по н. п. Хасс являются склейкой более 10 смонтированных отрезков, снятых с различным разрешением в разное время суток... В среду 26 октября ни один самолет ВКС России в данный район не заходил"", - сказал Конашенков. 
На опубликованной зарубежными СМИ фотографии видно, что повреждена только одна торцевая стена здания, причем все парты в классе стоят на своих местах, отметил он, а через пролом в стене отчетливо видно совершенно целое, без следов осколочных повреждений, ограждение розоватого цвета напротив, что невозможно при взрыве авиационного боеприпаса. 
""Ограда и все стены здания в этом случае должны были быть разрушены и посечены осколками, а мебель сметена ударной волной"", - пояснил Конашенков. 
Для подтверждения этой информации в четверг утром в район Хасса был направлен российский беспилотник. Аэрофотосъемка ВКС РФ, проведенная в районе якобы авиаудара по школе, установила отсутствие характерных повреждений для воздушных бомбардировок. 
""Как видно на фотографии с российского БПЛА, никаких повреждений крыши школы или воронок от взрыва авиабомб в прилегающем к школе районе нет... Кстати, аналогичные сведения могут быть запрошены у наших американских коллег"", - отметил представитель Минобороны. 
В это время в данном районе российскими средствами контроля воздушного пространства сопровождался американский разведывательно-ударный БПЛА MQ-1B Predator, отметил Конашенков. 
Напомним, как сообщала Правда.Ру, 26 октября в сирийской провинции Идлиб в результате авиаудара, который был нанесен по школе, погибли 22 ребенка и 6 учителей. 
«Это трагедия. Если это было сделано намеренно, то это - военное преступление»,- приводит AFP слова директора ЮНИСЕФ Энтони Лейка. До этого правозащитники сообщали, что «военные самолеты или российские, или сирийские нанесли шесть ударов» по деревне Хасс Лэйк отметил, что произошедшее является трагедией или военным преступлением. 
Официальный представитель МИД РФ Мария Захарова, заявила, что Россия не имеет никакого отношения к атаке на школу в сирийском Идлибе, и все международные институты должны срочно подключиться к расследованию этой трагедии. 
Чем ближе взятие Алеппо, тем яростнее будут обвинения в адрес России , считает сотрудник Центра анализа стратегий и технологий Максим Шеповаленко. Информационные вбросы, подобные истории об российском ударе по школе в провинции Идлиб , будут продолжаться до конца войны. ""Все пошло враздрай: никаких мирных переговоров, вступил в силу План Б - по вооружению боевиков. Значит, информационная война в самом разгаре"" - сказал аналитик в беседе с Pravda.Ru 
Читайте последние новости Pravda. Ru на сегодня",1
22368,WATCH THIS: DID GOOGLE MANIPULATE Search For Hillary Clinton For Favorable Results? [Video],"While researching for a wrap-up on the June 7 Presidential Primaries, we discovered evidence that Google may be manipulating autocomplete recommendations in favor of Hillary Clinton. If true, this would mean that Google Searches aren t objectively reflecting what the majority of Internet searches are actually looking for, possibly violating Google s algorithm. According to a research paper cited in this video, that kind of search result manipulation has the potential to substantially influence the outcome of actual elections. ",1
57433,China And Middle East Hot Spots: Diplomacy Or Militarism?,"Written by Daniel McAdams   Both the Middle East and the South China Sea area are hot spots that can potentially lead to major wars. Will the US and Russia clash over Syria policy? What about the US and China at odds over China's reclaimed islands off their coast? As a new US Administration readies itself to tackle some of these issues, today's Liberty Report speaks with distinguished US diplomat, Ambassador Charles Freeman, to see what we might expect. Will the neocons keep the administration on a bellicose and militaristic approach to the rest of the world, or will real diplomacy be given a chance? Copyright © 2016 by RonPaul Institute. Permission to reprint in whole or in part is gladly granted, provided full credit and a live link are given.",1
70782,86 YR OLD BARBARA WALTERS Tells 40 Yr Old ‘American Sniper’ Star Bradley Cooper: “I find you very screwable.’,"Real journalism ended a long time ago, but this is a new low even for leftist Barbara Walters. Just embarrassing He was named People s Sexiest Man Alive back in 2011. And Bradley Cooper proved just why he had that honour as women of all different ages desire him.The 40-year-old actor may have received a bit more attention than he was expecting from Barbara Walters recently during her 10 Most Fascinating People of 2015 special.Bradley seemed to be the apple of the 86-year-old journalist s eye, as according to People, she told him during the interview:  I could just sit and stare at you but that would take too much time.  But I, I find you very screwable. After making the surprising admission, the television host commented on his looks as she said:  I think you re handsome, I think you re sexy. The Silver Linings Playbook star definitely seemed to be bashful as he was grateful for the compliments and says:  I think that I ve grown to stop thinking about it. But sometimes I feel better than others. Yeah, I think it has a lot to do with feeling comfortable with yourself. Bradley definitely seems to be very comfortable in his own skin as he added:  And I know that I m more comfortable with myself than I ve ever been in my life, so maybe that makes me more attractive.  Via: UK Daily Mail ",1
4119, The End Of The Republican Party In One Simple Graph,"After getting crushed in the 2012 election, the Republican Party realized that they needed to appeal to more than just old angry white men. But they didn t do that. Instead, they doubled down on anti-Latino sentiment. Then they tripled down. Then they played their Trump card and that was the end of the GOP s Latino outreach. Now, Pew Research Center has released a study that confirms the Republican Party is doomed. Not only is the fastest growing group of voters Latino, Millennials (who already dislike the GOP intensely) make up the fastest growing segment within that already critical demographic.In other words, the people the least likely to vote for Republicans are going to be one of the most powerful voting blocks in just a few years. Just to make it a little more clear, here s what the growth of Latino voters looks like by the millions:And almost half of them are Millennials. If I were a Republican, this graph would make me wake up screaming every night. It s like the Grim Reaper showed up on my doorstep and said,  Hola, Gringo! I d feel bad for the GOP but they really did bring it on themselves. A few years ago, they MIGHT have been able to appeal to Latino voters. But the last two years have seen a repeat of the exact same short-sighted stupidity that drove the black community away from voting Republican for the last 50 years. Trump sped up the process considerably but it was already happening. You cannot tell an entire group of people that you hate their very existence and then be surprised when they vote against you.Republicans have painted themselves into a corner with no chance of escape. In order to rally their aging base, they demonized Latinos by pretending immigration was an existential threat of America. They were so successful in this that they cannot, in any way, appeal to Latinos without immediately alienating the old angry white people that keep them in office. But without the Latino vote, Republicans cannot possibly continue to compete at the national level for much longer.It s the most delicious Burrito of Electoral Doom imaginable and I can t wait to dig in!Feature image via Pew Research",1
37022,WOW! Rebel Media Finds Shocking Evidence Implicating Son of DEM APPOINTED Judge In “Hate Crime” Trump Supporter Was FALSELY Charged With [VIDEO],"Rebel Media: Attacking someone for their politics could be expected from private citizens acting out against each other, but what about government and law enforcement officials?The Rebel has investigated the case of Mark Feigin, a California Trump supporter who was wrongfully accused of and charged with an anti-Muslim hate crime.On October 19, 2016, Feigin was arrested and charged with making a  criminal threat  and  annoying phone calls  against the Islamic Center of Southern California by the Los Angeles Police Department, and then by California Attorney General Kamala Harris.LAPD officers accused Feigin of making two threatening phone calls and claimed that they had traced the phone calls back to him, later labeling the calls a hate crime against Muslims.On October 19th, 2016, Feigin s home was raided by the LAPD and his weapons were confiscated and placed on display for the media during a press conference where the California Media and LAPD were complicit in portraying Feigin as a potential mass murderer.Cmdr. Horace Frank with the Los Angeles Police Department stated in a press conference in October 2016: The male caller threatened to kill the person who answered the phone along with other members of the center because of the caller s hatred for Muslims and his belief that Muslims will destroy the United States. The Rebel has obtained new documents and evidence through police disclosure surrounding the case which proves that the first phone call made to the Islamic Center came from the phone of a different California man, Michael Slawson.Michael Slawson is the son of Democratically appointed Los Angeles Superior Court Judge John Slawson.In other words, Slawson s father is a judge in the same justice system under which Feigin was charged.",1
28431,NAIVE NEWS ANCHOR Reporting On “Refugees” Gets Shocking Reality Check During LIVE Broadcast [Video],"This is so disturbing but such a wake up call for people who don t realize what s going on all over Europe and what s coming our way. America is as naive as Europe We also have our share of bleeding heart liberals who are happy to bring in anyone and everyone.Watch what happens below and tell us you would want these people living with you: As soon as Nicola Porro connected with his correspondent around 11:30pm at the Station Terminal of Rome to document the situation of the campers who congregate there at night, Francesca Parisella had just enough time to begin the connection before announcing,  They have assaulted us . With the camera weaving, it was understood that the journalist and her cameraman were fleeing and the voice of the reporter changed in tone into an actual cry of fear. A few minutes later, Porro, from the studio, explained that,  Francesca is upset but well. They have destroyed the camera and beaten the cameraman. A situation such as this evening s should not be a report from a war zone. Thanks to a taxi driver, a much worse outcome was avoided.  The version was confirmed by Parisella herself, by telephone shortly thereafter.  We were at a distance to report on the type of welcome we can give; they were disturbed and they assaulted us. They chased me and grabbed me by the jacket,  explains the journalist.ITALY HAS BEEN INVADED NO KIDDING! PLEASE WATCH THE VIDEO BELOW!Is this going to be America where invaders refuse to leave? We already have illegals who keep coming back after being deported. These people are ruining Europe but will we be next?These people are heading to Northern Europe How many will end up in the US?ISLAMIZATION OF ITALY: THOUSANDS OF MUSLIMS Protest For Mosque Outside Iconic ColosseumSmall mosques were shut down in Italy to keep youth from becoming radicalized A huge protest ensued Thousands of Muslims gathered outside Rome s Colosseum to protest the closure of mosques and other places of worship in the Italian capital. The group gathered outside the iconic ancient Roman building to pray as they promoted their right of freedom to worship during the peaceful march yesterday. An imam led the group in chants of  Allah Akbar  which means  God is great,  as they kneeled to the ground facing the Colosseum. Via: Daily Mail ",1
17236,The End Game Closes In On The Clintons As The Deep State Turns,"Leave a reply 
Mike Adams – My fellow Americans, we are watching history unfold before us with such sound and fury that we are likely to never witness comparable events again in our lifetime. As of today, I am now convinced that the deep state has turned on Hillary Clinton and will unveil damning in the next few days that will end the Clintons’ reign of terror over America and collapse her bid for the presidency. 
The mainstream media, of course, will never report this news for the simple reason that they are the propaganda arm of the criminal Clinton cartel. As such, they will lie to the public to the bitter end, even as the Clinton Titanic sinks with all of them on board (in deep, frigid waters, no less, with no more lifeboats to be found). 
The so-called “deep state”— the powerful insiders who really run the intelligence services and inner layers of untouchable bureaucracy — has decided Hillary Clinton is too damaged to defend any longer . Even if she were to win by stealing the election, she would be so mired in criminal investigations and political illegitimacy that she would rip the nation to shreds while fighting for her own political survival. 
It has now been decided, I believe, that Hillary Clinton will be taken out of power by releasing criminally damaging emails which have long been held by the NSA and FBI. This will likely happen before the coming weekend. Once that is accomplished, the next goal will be to wait for President Trump to take office, then destroy the U.S. economy through a controlled, global debt collapse so that Trump can be blamed for the near collapse of western economies. (Remember: The deep state isn’t pro-Trump. They’re still all about defending the establishment. But Hillary is one bridge too far for even the statists to stomach…) 
Instead of allowing Hillary Clinton to take power and destroy America from the top, in other words, deep state power brokers have reverted to “Plan B” which is to let Trump take the White House, then destroy America through the controlled demolition of its currency and economy. This is simpler than it sounds. Bringing down the debt pyramid of a nation carrying nearly $20 trillion in national debt isn’t exactly rocket science. All they have to do is stand back and stop manipulating the markets and stop printing new money for a few months while raising interest rates. Monetary gravity will do the rest… 
In the mean time, Hillary Clinton and a long list of her co-conspirators are going to find themselves charged with obstruction of justice , lying under oath, destruction of evidence, conspiracy, corruption and other serious charges that will lead to serious prison time for many. 
The criminal racket of the Clintons is about to implode. The participants will be charged under the RICO Act for “racketeering” activities, for which ample evidence already exists. A new video from Steve Pieczenik describes some of this 
In this video, intelligence insider Steve Pieczenik lays out how high-level intelligence insiders are now working in concert to “reverse the Clinton coup” that’s attempting to take over America and destroy it from within. 
Even if you don’t believe Pieczenik — and I fully realize he’s controversial in his own way — this short video is a very important “must watch” explanation to know what people in the intelligence community are doing…“we’ve initiated a counter-coup…” 
The Clintons are going to go “full murder” in a last ditch, desperate effort to save themselves 
Beware of what may yet unfold in the coming days. Like a cornered wild animal, the Clintons are extremely dangerous when they realize they have nothing to lose by going “full murder” in an attempt to save themselves. 
I will not be surprised the least bit if bodies of people in high places start piling up over the next week. Watch for news reports of mysterious car crashes, swimming pool accidents or “natural” deaths involving people like James Comey, who’d better have armed security personnel around him at all times. 
Look for desperate measures such as the Clintons attempting to blackmail Obama, Comey or anyone who they think might serve as leverage to save their own skins. We might also see desperate false flag attacks unfold in the next few days, although that’s increasingly unlikely since it seems the Clintons are now on their own (they would need the assistance of Obama to pull off another Sandy Hook, you see). A deal has already been struck with Obama 
Most likely, deep state operatives have already struck a deal with Obama to avoid prosecuting him for his own serious crimes as long as he stays out of the way as Hillary Clinton’s head is served up on a platter. This likely explains why Obama is now publicly saying he trusts Comey (and refuses to go to bat for Hillary). There’s no love lost between Obama and the Clintons (remember 2008?). 
As all this is going down, the propaganda ministry of the Clinton regime — CNN, NYT, Washington Post, etc. — is going to explode into an all-out “bat-s##t crazy” conspiracy theory phase where they blame the Russians, extraterrestrials, Bigfoot and the Loch Ness Monster for everything that’s imploding around the Clintons. Mainstream media news reports are going to increasingly sound like sociopathic babble from crazy people grasping at whatever outlandish theories they can invoke. Maybe crop circles were created by the Russians as a secret code to Wikileaks and Donald Trump, eh? 
Meanwhile, conspiratorial operatives like George Stephanopoulos fully realize they are probably going to jail for collusion and sedition , so they have nothing left to lose by desperately trying to put Hillary in the White House via any means at their disposal, including totally faking negative news against Donald Trump (which is, of course, the entire news mission of CNN at this point, a disgraced propaganda network run by anti-American traitors). If the vote is stolen for Hillary Clinton, all hell breaks loose 
Should the globalist Soros operators manage to steal the vote, bribe the electoral voters or rig the black box voting machines sufficiently to place Hillary Clinton in the White House, all Hell breaks loose across America : • The FBI goes into full indictment mode to push criminal charges for the Clinton criminal regime. • Donald Trump launches a massive legal challenge to the election outcome, dispatching an army of lawyers to level a vast assortment of charges involving coordinated voter fraud, the rigging of voting machines, the attempted bribery of Electoral voters and so on. • The U.S. military revs up its plans for an armed military coup to depose Clinton and restore democracy. This one should be especially entertaining to watch unfold if it gets activated… (and yes, YOU will beg for a short-term military dictatorship as long as they promise to depose Clinton and restore open, fair and free elections). • Armed U.S. citizens prepare for a massive march on Washington to take back their democracy and restore a lawful society where the political elite don’t get away with corruption, fraud and murder. Expect this march to be joined by police officers and federal law enforcement officials of all kinds. • The NSA likely goes into “full dump” mode to unleash every scrap of damning criminal evidence against Hillary Clinton. This will likely be joined by CIA assets who already have the goods on the Clintons and their “Lolita Express” pedo joy rides. • Wikileaks, Anonymous and every former NSA analyst goes into “destroy the Clintons” mode and begins to hack and expose every last shred of email evidence ever possessed by the Clintons and anyone close to them. Anonymous alone has enough technical clout to accomplish this with little or no outside help. (I expect Kim Dotcom to be aiding this entire effort as well, as he rightly holds extreme hatred toward Hillary Clinton… as do we all, come to think of it.) • The establishment Republicans in the U.S. Congress will, as usual, meekly surrender to the democrats, pulls down their britches and bend over to prepare to take it in the rear because that’s what they do best when the going gets tough. Totally useless politicrats like John McCain can’t get their pants around their ankles quickly enough when democrats start accusing them of something. These useless heaps of human baggage will be tossed out of Washington as the revolution unfolds, replaced with individuals who actually honor the U.S. Constitution (like Rep. Louie Gohmert). I root for all groups working to save America and expose the criminal politicians 
Bring out the marshmallows and weiners, folks: This is going to be the most bizarre campfire front row seat to U.S. history that anyone has witnessed in over 200 years. Try not to trip and “face plant” into the flames as all this unfolds. It might be a smart idea to have some preparedness supplies at the ready, since no one really knows just how nasty this is all going to get. (And thank God Hillary doesn’t have her fingers on the nuclear launch codes, or she’d probably launch them just to change the narrative…) 
As for me, I’m with anybody who’s trying to save America , restore democracy and throw the establishment criminals in prison. Like almost everybody else, I’ve had enough of the lies, the corruption, the media deceptions and the incessant blood sucking parasites in Washington D.C. who are too arrogant and stupid to realize just how much they’re universally despised. The revolution is ON. Anonymous, Wikileaks, Project Veritas, the FBI and the NSA have all been activated. There’s no stopping them now, and all the details of all the crimes of the Clintons are about to spill onto the stage of history, dirty deeds and all. 
Be warned, you are probably not psychologically prepared for the truth about what the Clintons really are. You will probably vomit. SF Source Natural News Nov. 2016 Share this:",1
31703,LOL! Democrat Congressman Says Best Way To Fight “Fake News” Is To Watch MSNBC [VIDEO],"MSNBC host asks Congressman Ted Leiu, a Democrat from California about a House resolution he co-sponsored to address  fake news.  The idea that a member of Congress is trying to legislate what is and is not  fake new  is scary enough, but the congressman then went on to say that the best way to combat  fake news  is to watch MSNBC, because  Trump fears  them  so they must be doing something right.  Leiu then goes on to actually  thank  MSNBC for  speaking truth to power.  He probably just missed that embarrassing fiasco where serial liar Brian Williams was caught completely fabricating stories and reporting them as facts on NBC Nightly News, before being moved over to MSNBC with more like-minded  fake news  hosts Watch:",1
10230,"WHY ARE DEMOCRATS Willing To Put Women Working At White House At Risk, By Allowing Sexual Predator, Accused Rapist To Roam Halls?","New Wikileaks email shows Bill Clinton wanted  Young Latina Celeb Type  on campaign trail for Hillary with him, and that Hillary s campaign was more than happy to try to make that happen. This new email should cause ever American to ask,  Why would any person who cares about women intentionally send a young female on the campaign trail with a known sexual predator and accused rapist? Bill Clinton wanted to appear on the campaign trail for his wife with  young Latina celeb types,  according to newly released hacked emails.The former president asked earlier this year for Hispanic surrogates to appear at his campaign events for Hillary Clinton, and suggested either the Castro brothers or a young female celebrity. WJC asking if we should have a Latino surrogate do events with him,  wrote Tina Flournoy, Bill Clinton s chief of staff, on Feb. 10, 2016.  Not sure that s the focus for the Sunday trip. Where are we putting him? Flournoy said Clinton suggested Juli n Castro, the secretary of Housing and Urban Development, or his brother Joaqu n Castro, a congressman from Texas. He just suggested Castro to me too,  wrote Robby Mook, Hillary Clinton s campaign manager.  Or young Latina celeb type. The campaign team then suggested actress America Ferrera, a longtime supporter of Hillary Clinton. He was thing America but that s based in his mind on 2008 [sic],  Flournoy said. We love America,  said Huma Abedin, a top Hillary Clinton aide.  Tried to get her but she couldn t do this weekend.    WFB",1
